Unnamed: 0,x,y,region,dt_placement,year,month,ndvi_new,ndmi_new,ndwi_new,ndbi_new,ndvi_mean_new,ndmi_mean_new,ndwi_mean_new,ndbi_mean_new,ndvi_std_new,ndmi_std_new,ndwi_std_new,ndbi_std_new,lst_day,lst_night,lst_jan_mean,lst_feb_mean,lst_mar_mean,lst_apr_mean,acc_rainfall_1week,acc_rainfall_2week,acc_rainfall_jan,acc_rainfall_jan_new,dt_placement_minus_7,dt_placement_minus_14,dt_placement_minus_7_avail,dt_placement_minus_14_avail,acc_rainfall_1week_new,acc_rainfall_2week_new
49,99.208962,13.481177,Thailand,2022-10-08,2022,10,0.7481095176010429,0.362047947988623,-0.6084452975047979,-0.362047947988623,0.7245927702573102,0.349534109200312,-0.588470780605615,-0.349534109200312,0.0517086929281017,0.0308081148462552,0.0386918593195932,0.0308081148462552,14970.0,,14885.7727272727,14852.75,14974.9090909091,14961.222222222199,98.8,200.4,1712.6,3442.4574004075725,2022-10-01,2022-09-24,2022-10-01,2022-09-24,182.58680538684385,323.1097540976792
50,99.208962,13.499144,Thailand,2022-10-08,2022,10,0.772802653399668,0.411221122112211,-0.627918781725888,-0.411221122112211,0.7689447876058,0.38366766603441405,-0.616254398430532,-0.38366766603441405,0.0146136672131193,0.0201656958719608,0.0176422965494162,0.0201656958719608,15011.0,,14882.863636363601,14855.7272727273,14974.3,14987.666666666699,98.8,200.4,1712.6,3442.4574004075725,2022-10-01,2022-09-24,2022-10-01,2022-09-24,182.58680538684385,323.1097540976792
51,99.208962,13.517111,Thailand,2022-10-08,2022,10,0.793212669683258,0.380114922514365,-0.646105919003115,-0.380114922514365,0.754391689762914,0.376609364729427,-0.613859618576515,-0.376609364729427,0.0696026737934647,0.0350183462310142,0.0495618989643901,0.0350183462310142,15037.0,,14925.9565217391,14959.6,15027.1,15006.1,118.4,218.7,1761.7,3530.337090285975,2022-10-01,2022-09-24,2022-10-01,2022-09-24,229.52920407172735,366.3699220727671
52,99.208962,13.535077,Thailand,2022-10-08,2022,10,0.7533440342429109,0.33428338762215004,-0.597757191613847,-0.33428338762215004,0.767158389371514,0.37088143030066295,-0.614564291476384,-0.37088143030066295,0.0128886880890696,0.0174894508666611,0.0157154071515259,0.0174894508666611,15001.0,,14889.782608695701,14886.777777777801,14969.0,14968.8181818182,118.4,218.7,1761.7,3530.337090285975,2022-10-01,2022-09-24,2022-10-01,2022-09-24,229.52920407172735,366.3699220727671
53,99.208962,13.553044,Thailand,2022-10-08,2022,10,0.640635488923696,0.363078639152259,-0.5284552845528461,-0.363078639152259,0.63934875040459,0.341942567927301,-0.519584033675488,-0.341942567927301,0.0225525279138845,0.0242809499248977,0.0183665505045977,0.0242809499248977,15034.0,,14914.666666666699,14910.6,14979.0,15062.0,118.4,218.7,1761.7,3530.337090285975,2022-10-01,2022-09-24,2022-10-01,2022-09-24,229.52920407172735,366.3699220727671
54,99.208962,13.571011,Thailand,2022-10-08,2022,10,,,,,0.6690224876323531,0.314185022026432,-0.541714139153279,-0.314185022026432,0.0031748217846872,0.0,0.0036650568682712,0.0,15075.0,,14943.0,14941.9090909091,15021.75,15064.833333333301,118.4,218.7,1761.7,3530.337090285975,2022-10-01,2022-09-24,2022-10-01,2022-09-24,229.52920407172735,366.3699220727671
55,99.208962,13.588978,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,15158.0,,14990.5,15006.333333333301,15071.9090909091,15158.7,118.4,218.7,1761.7,3530.337090285975,2022-10-01,2022-09-24,2022-10-01,2022-09-24,229.52920407172735,366.3699220727671
56,99.208962,13.606944,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,14946.0,,14982.5769230769,15038.916666666699,15042.3076923077,15154.4,133.5,228.0,1808.7,3621.3210773588844,2022-10-01,2022-09-24,2022-10-01,2022-09-24,258.99472688459974,400.00401066812344
57,99.208962,13.624911,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,15005.0,,15014.416666666699,15064.5555555556,15095.8181818182,15143.0909090909,133.5,228.0,1808.7,3621.3210773588844,2022-10-01,2022-09-24,2022-10-01,2022-09-24,258.99472688459974,400.00401066812344
58,99.208962,13.642878,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,15216.0,,15056.3076923077,15122.1111111111,15163.636363636399,15206.0,133.5,228.0,1808.7,3621.3210773588844,2022-10-01,2022-09-24,2022-10-01,2022-09-24,258.99472688459974,400.00401066812344
59,99.208962,13.660844,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,15231.0,,15100.3913043478,15119.1818181818,15202.3,15221.545454545501,133.5,228.0,1808.7,3621.3210773588844,2022-10-01,2022-09-24,2022-10-01,2022-09-24,258.99472688459974,400.00401066812344
60,99.208962,13.678811,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,15120.0,,15043.64,15045.5,15133.8181818182,15137.7272727273,133.5,228.0,1808.7,3621.3210773588844,2022-10-01,2022-09-24,2022-10-01,2022-09-24,258.99472688459974,400.00401066812344
61,99.208962,13.696778,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,15157.0,,15044.92,15066.8,15124.615384615401,15164.0,133.5,228.0,1808.7,3621.3210773588844,2022-10-01,2022-09-24,2022-10-01,2022-09-24,258.99472688459974,400.00401066812344
62,99.208962,13.714744,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,15172.0,,15079.2727272727,15069.3,15134.428571428602,15207.5,167.8,253.9,1791.0,3587.233313246809,2022-10-01,2022-09-24,2022-10-01,2022-09-24,326.7136014872378,465.0230830779806
63,99.208962,13.732711,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,15117.0,,15050.9130434783,15051.666666666699,15089.916666666699,15161.583333333301,167.8,253.9,1791.0,3587.233313246809,2022-10-01,2022-09-24,2022-10-01,2022-09-24,326.7136014872378,465.0230830779806
64,99.208962,13.750678,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,15163.0,,15086.458333333301,15087.153846153798,15183.7692307692,15235.461538461499,167.8,253.9,1791.0,3587.233313246809,2022-10-01,2022-09-24,2022-10-01,2022-09-24,326.7136014872378,465.0230830779806
65,99.227413,13.19371,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,,,,,,,120.9,229.1,1786.9,0.0,2022-10-01,2022-09-24,2022-10-01,2022-09-24,0.0,0.0
66,99.227413,13.211677,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,,,,,,,92.1,185.7,1737.8,1747.6829716396683,2022-10-01,2022-09-24,2022-10-01,2022-09-24,84.69815986330819,161.88204866368525
67,99.227413,13.229644,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,,,,,,,92.1,185.7,1737.8,1747.6829716396683,2022-10-01,2022-09-24,2022-10-01,2022-09-24,84.69815986330819,161.88204866368525
68,99.227413,13.24761,Thailand,2022-10-08,2022,10,0.779507785032647,0.37219209914794704,-0.6364896073903,-0.37219209914794704,0.468604665309466,0.280915324357084,-0.388485821772005,-0.280915324357084,0.0295967735394548,0.0070630289479024,0.0221831028681302,0.0070630289479024,15043.0,,14911.28,14914.833333333301,15035.933333333302,15056.7692307692,92.1,185.7,1737.8,1747.6829716396683,2022-10-01,2022-09-24,2022-10-01,2022-09-24,84.69815986330819,161.88204866368525
69,99.227413,13.265577,Thailand,2022-10-08,2022,10,0.607855170297637,0.32457027300303304,-0.47356580427446604,-0.32457027300303304,0.647883246502172,0.325265795338332,-0.513951228254003,-0.325265795338332,0.123902965253333,0.0378634002496006,0.096073677519226,0.0378634002496006,15017.0,,14916.333333333301,14898.1111111111,15008.9375,15035.071428571398,92.1,185.7,1737.8,1747.6829716396683,2022-10-01,2022-09-24,2022-10-01,2022-09-24,84.69815986330819,161.88204866368525
