"dt_placement_original","Location","GPS","Culex sp.","Aedes","Anopheles","Total","y","x","dt_placement","region","year","month","ndvi","ndmi","ndwi","ndbi","ndvi_mean","ndmi_mean","ndwi_mean","ndbi_mean","ndvi_std","ndmi_std","ndwi_std","ndbi_std","lst_day","lst_night","lst_jan_day_mean","lst_jan_night_mean","lst_feb_day_mean","lst_feb_night_mean","lst_mar_day_mean","lst_mar_night_mean","lst_apr_day_mean","lst_apr_night_mean","1990_landcover","2000_landcover","2006_landcover","2012_landcover","2018_landcover","acc_rainfall_jan_new","dt_placement_minus_7","dt_placement_minus_14","dt_placement_minus_7_avail","dt_placement_minus_14_avail","acc_rainfall_1week_new","acc_rainfall_2week_new"
2017-06-05,"Ka?arevo ","N44 57.748 E20 42.773",320,0,0,320,44.962467,20.712883,2017-05-21,"Serbia",2017,5,0.413978494623656,0.0459855828983346,-0.367565810854729,-0.0459855828983346,0.320001379310899,-0.0381883368584728,-0.288454684277757,0.0381883368584728,0.107471042604523,0.11273569801727,0.0962491261238998,0.11273569801727,15545,14463,13485.1428571429,13096.0909090909,14113.3636363636,13454.25,14712.5294117647,13882,14986.5833333333,13981.8181818182,112,112,112,112,112,473.599218478124,2017-05-14,2017-05-07,2017-05-14,2017-05-07,32.0978500861675,80.2640542890877
2017-06-05,"Pan?evo Nadel","N44 53.741 E20 40.850",126,11,0,137,44.895683,20.680833,2017-05-21,"Serbia",2017,5,0.487967229902714,0.165196471531676,-0.425208435507602,-0.165196471531676,0.482679036255455,0.151062365369998,-0.422754966544334,-0.151062365369998,0.0540054144439272,0.0368801768447046,0.0382605418415191,0.0368801768447046,15340,14436,13531.25,13073.25,14124,13411.4444444444,14710.1875,13882.5,14937.4166666667,13975,211,211,211,211,211,496.238941913875,2017-05-14,2017-05-07,2017-05-14,2017-05-07,14.9133803206496,74.5175189212969
2017-06-05,"Kudeljarski nasip Roda","N44 53.470 E20 40.109",310,20,1,331,44.891167,20.668483,2017-05-21,"Serbia",2017,5,0.515621094726318,0.183681436658208,-0.445875059608965,-0.183681436658208,0.471084423729478,0.176332296517719,-0.418534758521034,-0.176332296517719,0.077132131472657,0.0709117309536382,0.0523703593209707,0.0709117309536382,15272,14462,13513.5,13118.9230769231,14088,13442.6666666667,14645.4666666667,13948.3636363636,14887.5833333333,14002.7777777778,112,112,112,112,112,496.238941913875,2017-05-14,2017-05-07,2017-05-14,2017-05-07,14.9133803206496,74.5175189212969
2017-06-05,"SC na Misi","N44 52.860 E20 39.614",260,10,3,273,44.881,20.660233,2017-05-21,"Serbia",2017,5,0.395528141865844,0.146053186998734,-0.342729970326409,-0.146053186998734,0.560358460727464,0.24031007751938,-0.470076980382419,-0.24031007751938,0,0,0,0,15332,14304,13506.75,13260.1428571429,14064.5555555556,13503.4444444444,14646.8,14002.8181818182,14874.9230769231,14074.4444444444,112,112,112,112,112,496.238941913875,2017-05-14,2017-05-07,2017-05-14,2017-05-07,14.9133803206496,74.5175189212969
2017-06-05,"Valjevska ulica","N44 53.051 E20 38.538",38,12,2,52,44.884183,20.6423,2017-05-21,"Serbia",2017,5,0.461125247384789,0.137073707370737,-0.417443773998903,-0.137073707370737,0.404451514534077,0.113626136425286,-0.370216923352186,-0.113626136425286,0.0823749620162156,0.068407332238409,0.0582289416530012,0.068407332238409,15279,14348,13569.6,13268.3125,14085.3333333333,13530.5555555556,14565.8823529412,14040.75,14835.6428571429,14088.8888888889,112,112,112,112,112,496.238941913875,2017-05-14,2017-05-07,2017-05-14,2017-05-07,14.9133803206496,74.5175189212969
2017-06-05,"Brodoremont","N44 51.390 E20 38.367",20,18,2,40,44.8565,20.63945,2017-05-21,"Serbia",2017,5,0.487977369165488,0.233583489681051,-0.4034151547492,-0.233583489681051,0.462198009846809,0.258475403573462,-0.37185070481994,-0.258475403573462,0.156199877270213,0.12979385988245,0.120193267611159,0.12979385988245,14969,14487,13562.5,13197.6875,13971.1,13409.9285714286,14423.2666666667,13956.7142857143,14559.5,14015.0833333333,141,141,141,141,141,496.238941913875,2017-05-14,2017-05-07,2017-05-14,2017-05-07,14.9133803206496,74.5175189212969
2017-06-05,"Bolnica","N44 52.040 E20 39.165",70,14,0,84,44.867333,20.65275,2017-05-21,"Serbia",2017,5,0.350205631129389,0.141481679593474,-0.298448433221783,-0.141481679593474,0.378447481423901,0.097883758964601,-0.349112191963618,-0.097883758964601,0.0524323975521755,0.0597438572505632,0.0392302062824555,0.0597438572505632,15328,14310,13564.6,13245.8823529412,14063.4444444444,13510.5,14582.1176470588,14007,14864.6153846154,14082.8,112,112,112,112,112,496.238941913875,2017-05-14,2017-05-07,2017-05-14,2017-05-07,14.9133803206496,74.5175189212969
2017-06-05,"Fabrika stakla","N44 51.385 E20 39.450",82,14,1,97,44.856417,20.6575,2017-05-21,"Serbia",2017,5,0.292393227192317,0.023004600920184,-0.288485764676241,-0.023004600920184,0.388329344717793,0.103337191692313,-0.359876479727624,-0.103337191692313,0.0757845037173845,0.0806162992969173,0.048215747312542,0.0806162992969173,14782,14430,13567.8333333333,13172.4117647059,14015.4,13429.3333333333,14510,13930.1538461538,14761.6428571429,13966.8461538462,121,121,121,121,121,496.238941913875,2017-05-14,2017-05-07,2017-05-14,2017-05-07,14.9133803206496,74.5175189212969
2017-06-05,"Vojlovica","N44 50.670 E20 40.240",338,18,3,359,44.8445,20.670667,2017-05-21,"Serbia",2017,5,0.443783783783784,0.12676650495676,-0.404311251314406,-0.12676650495676,0.416465827839105,0.115390786340616,-0.378407485642018,-0.115390786340616,0.0427803004307141,0.0237412894842419,0.0329441616114034,0.0237412894842419,14775,14493,13572.5,13186.0588235294,14055.4444444444,13466.9166666667,14524.625,13941.6666666667,14784.0714285714,13970.5833333333,112,112,112,112,112,496.238941913875,2017-05-14,2017-05-07,2017-05-14,2017-05-07,14.9133803206496,74.5175189212969
2017-06-05,"Star?evo","N44 48,375 E20 42.362",65,11,1,77,44.80625,20.706033,2017-05-21,"Serbia",2017,5,0.373344604113835,0.0778416629809819,-0.348644161593802,-0.0778416629809819,0.410862179581117,0.109415092280452,-0.372531856540634,-0.109415092280452,0.082184237165867,0.0991609990944255,0.0626068723646774,0.0991609990944255,15378,14413,13626.3333333333,13166.9166666667,14165.8,13454.5,14764.8666666667,13899.4545454545,14978.2857142857,13972.6363636364,112,112,112,112,112,491.841454049623,2017-05-14,2017-05-07,2017-05-14,2017-05-07,11.7099971200805,71.1097761439742
2017-06-05,"Omoljica","N44 45.190 E20 44.360",58,8,2,68,44.753167,20.739333,2017-05-21,"Serbia",2017,5,0.475931958016649,0.256315465187924,-0.377237419790611,-0.256315465187924,0.499562188047727,0.159647543226357,-0.430654600393507,-0.159647543226357,0.110035691517015,0.105645619166198,0.0760455143316271,0.105645619166198,15344,14479,13515.1428571429,13190.7692307692,14140.5555555556,13496.3636363636,14720.7857142857,13945.4615384615,14961.2307692308,13973.5833333333,112,112,112,112,112,494.462344015649,2017-05-14,2017-05-07,2017-05-14,2017-05-07,9.80883672717027,73.2827660616022
2017-06-05,"Ivanovo","N44 44.055 E20 42.140",45,150,4,199,44.73425,20.702333,2017-05-21,"Serbia",2017,5,0.242194716423425,0.131034482758621,-0.21966261563577,-0.131034482758621,0.395761844669552,0.202083458552438,-0.331181011854107,-0.202083458552438,0.101626459417428,0.0639989657871005,0.0736663792083192,0.0639989657871005,15224,14416,13565.875,13211.4,14055.9,13388.1333333333,14532.4375,13949,14781.2142857143,13987.9333333333,112,112,112,112,112,494.462344015649,2017-05-14,2017-05-07,2017-05-14,2017-05-07,9.80883672717027,73.2827660616022
2017-06-05,"Banatski Brestovac","N44 43.565 E20 48.308",48,13,0,61,44.726083,20.805133,2017-05-21,"Serbia",2017,5,0.438758845944475,0.10678391959799,-0.392885375494071,-0.10678391959799,0.448173353703728,0.126072193756194,-0.393064309821169,-0.126072193756194,0.0368488168367959,0.0406275599348207,0.0240506817931454,0.0406275599348207,15442,14451,13683,13087.5,14146.2222222222,13506.1,14742,13927.4285714286,15013.6923076923,13982.7272727273,112,112,112,112,112,495.765595191136,2017-05-14,2017-05-07,2017-05-14,2017-05-07,17.4230076115346,78.1262787204323
2017-07-02,"Rit ispod mosta","N44 52.581 E20 37.879",73,1,2,76,44.87635,20.631317,2017-06-17,"Serbia",2017,6,0.493006134969325,0.186427457098284,-0.436599763872491,-0.186427457098284,0.493720251492776,0.200073412722137,-0.427553268656953,-0.200073412722137,0.116287682257176,0.107587172233683,0.0844643855369116,0.107587172233683,15181,14593,13578.4,13225.6,14077,13554.8888888889,14538.6470588235,14053.25,14801.1428571429,14102,112,112,112,112,112,609.216982748851,2017-06-10,2017-06-03,2017-06-10,2017-06-03,8.87556038470939,62.9224958196282
2017-07-02,"Karaula","N44 53.400 E20 38.100",960,5,0,965,44.89,20.635,2017-06-17,"Serbia",2017,6,0.104949421965318,0.0416347381864623,-0.135089998144368,-0.0416347381864623,0.357599387816637,0.148234230476313,-0.330005415058321,-0.148234230476313,0.208551415529439,0.104459933282474,0.163582807158319,0.104459933282474,15244,14057,13573,13270.8,14080.8888888889,13506,14627.4375,14020.6363636364,14846.5833333333,14062.5555555556,141,141,141,141,141,609.216982748851,2017-06-10,2017-06-03,2017-06-10,2017-06-03,8.87556038470939,62.9224958196282
2017-07-02,"Jabuka ","N44 56.830 E20 36.110",550,5,0,555,44.947167,20.601833,2017-06-17,"Serbia",2017,6,0.173659349819394,0.176274018379282,-0.151581243184297,-0.176274018379282,0.283369463519929,0.189063354657245,-0.227716997774522,-0.189063354657245,0.0615283234603649,0.103512867763896,0.0484038051504053,0.103512867763896,15289,13971,13565.5,13221.5833333333,14131.9166666667,13444.5555555556,14623.7058823529,13975.4166666667,14824.4285714286,14059.7,311,311,324,324,311,569.641774172788,2017-06-10,2017-06-03,2017-06-10,2017-06-03,4.16449390281923,65.2125504103024
2017-07-02,"Glogonj","N44 59 017 E20 31.365",800,12,7,819,44.983617,20.52275,2017-06-17,"Serbia",2017,6,0.444971751412429,0.0824445573048925,-0.412102473498233,-0.0824445573048925,0.492944087580802,0.160132909466196,-0.421551901241999,-0.160132909466196,0.124598236076244,0.0563065106253409,0.107264621431968,0.0563065106253409,14745,14502,13575.2857142857,13116.6363636364,14102.1666666667,13499.25,14648.625,13960.5,14780.3636363636,14047.0909090909,112,112,112,112,112,562.485900502104,2017-06-10,2017-06-03,2017-06-10,2017-06-03,4.43304114369676,59.5422414247878
2017-07-02,"Ka?arevo ","N44 57.748 E20 42.773",1245,0,5,1250,44.962467,20.712883,2017-06-17,"Serbia",2017,6,0.366726296958855,0.281162660704304,-0.20568122041031,-0.281162660704304,0.384049463086067,0.0851637083035625,-0.311431251934601,-0.0851637083035625,0.101505455519494,0.105974748515333,0.0948926908548549,0.105974748515333,15465,14507,13485.1428571429,13096.0909090909,14113.3636363636,13454.25,14712.5294117647,13882,14986.5833333333,13981.8181818182,112,112,112,112,112,579.04406518002,2017-06-10,2017-06-03,2017-06-10,2017-06-03,5.00846987683326,72.680894117686
2017-07-02,"Banatsko Novo Selo","N44 59.253 E20 46.888",1054,0,0,1054,44.98755,20.781467,2017-06-17,"Serbia",2017,6,0.44273127753304,0.139130434782609,-0.363163371488033,-0.139130434782609,0.425681974732208,0.130778030884073,-0.368787889349762,-0.130778030884073,0.0811350635595331,0.0452907149140392,0.0700709927078448,0.0452907149140392,15449,14497,13523.4,13193.75,14121.0833333333,13493.625,14753.2666666667,13966.4545454545,14953.2307692308,13988.3333333333,112,112,112,112,112,579.04406518002,2017-06-10,2017-06-03,2017-06-10,2017-06-03,5.00846987683326,72.680894117686
2017-07-02,"Pan?evo Nadel","N44 53.741 E20 40.850",415,0,0,415,44.895683,20.680833,2017-06-17,"Serbia",2017,6,0.58692290700243,0.224893435635124,-0.502928870292887,-0.224893435635124,0.511407519251232,0.198518202207461,-0.433826367517038,-0.198518202207461,0.107115538088134,0.0477074362004231,0.0937059812198608,0.0477074362004231,15220,14429,13531.25,13073.25,14124,13411.4444444444,14710.1875,13882.5,14937.4166666667,13975,211,211,211,211,211,609.216982748851,2017-06-10,2017-06-03,2017-06-10,2017-06-03,8.87556038470939,62.9224958196282
2017-07-02,"Kudeljarski nasip Roda","N44 53.470 E20 40.109",950,0,5,955,44.891167,20.668483,2017-06-17,"Serbia",2017,6,0.549178430918769,0.205474518278408,-0.472503299604047,-0.205474518278408,0.45296618071224,0.154220190730258,-0.407519787416774,-0.154220190730258,0.127819797603659,0.0751122243658805,0.0934246067150553,0.0751122243658805,15318,14079,13513.5,13118.9230769231,14088,13442.6666666667,14645.4666666667,13948.3636363636,14887.5833333333,14002.7777777778,112,112,112,112,112,609.216982748851,2017-06-10,2017-06-03,2017-06-10,2017-06-03,8.87556038470939,62.9224958196282
2017-07-02,"SC na Misi","N44 52.860 E20 39.614",225,0,90,315,44.881,20.660233,2017-06-17,"Serbia",2017,6,0.456886461178307,0.247994652406417,-0.345585585585586,-0.247994652406417,0.425917234150634,0.183423898779205,-0.355033833538485,-0.183423898779205,0.11280099236864,0.0632734890065324,0.130355174039195,0.0632734890065324,15356,14028,13506.75,13260.1428571429,14064.5555555556,13503.4444444444,14646.8,14002.8181818182,14874.9230769231,14074.4444444444,112,112,112,112,112,609.216982748851,2017-06-10,2017-06-03,2017-06-10,2017-06-03,8.87556038470939,62.9224958196282
2017-07-02,"Valjevska ulica","N44 53.051 E20 38.538",250,0,10,260,44.884183,20.6423,2017-06-17,"Serbia",2017,6,0.501979762428509,0.136295556665003,-0.471868937270964,-0.136295556665003,0.398539005604758,0.113799434464559,-0.371293642395303,-0.113799434464559,0.131569948111187,0.0623225644868837,0.109221659737374,0.0623225644868837,15323,14074,13569.6,13268.3125,14085.3333333333,13530.5555555556,14565.8823529412,14040.75,14835.6428571429,14088.8888888889,112,112,112,112,112,609.216982748851,2017-06-10,2017-06-03,2017-06-10,2017-06-03,8.87556038470939,62.9224958196282
