x,y,dt_placement,month,year,region,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_day,lst_night,lst_jan_mean,lst_feb_mean,lst_mar_mean,lst_apr_mean,acc_rainfall_1week,acc_rainfall_2week,acc_rainfall_jan
-3.056917,5.288139,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.056417,5.287139,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.054667,5.287944,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.055278,5.287806,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.055833,5.287611,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.057361,5.286722,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.055472,5.286278,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.054111,5.295861,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14683,15081,14871,15242,,95.2,139.1,1441.2
-3.054778,5.296389,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14690,15034.4285714286,14871,15181,15238,95.2,139.1,1441.2
-3.055333,5.297361,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14690,15034.4285714286,14871,15181,15238,95.2,139.1,1441.2
-3.056694,5.299222,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14690,15034.4285714286,14871,15181,15238,95.2,139.1,1441.2
-3.056667,5.298278,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14690,15034.4285714286,14871,15181,15238,95.2,139.1,1441.2
-3.056194,5.297056,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14690,15034.4285714286,14871,15181,15238,95.2,139.1,1441.2
-3.055667,5.295389,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14690,15034.4285714286,14871,15181,15238,95.2,139.1,1441.2
-3.056194,5.294083,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14690,15034.4285714286,14871,15181,15238,95.2,139.1,1441.2
-3.057222,5.295139,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14690,15034.4285714286,14871,15181,15238,95.2,139.1,1441.2
-3.05775,5.2965,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14690,15034.4285714286,14871,15181,15238,95.2,139.1,1441.2
-3.058,5.298556,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14690,15034.4285714286,14871,15181,15238,95.2,139.1,1441.2
-3.058389,5.299611,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14690,15034.4285714286,14871,15181,15238,95.2,139.1,1441.2
-3.05925,5.300056,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14690,15034.4285714286,14871,15181,15238,108.8,157.9,1490.7
-3.058583,5.29875,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14690,15034.4285714286,14871,15181,15238,95.2,139.1,1441.2
-3.058889,5.297556,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14690,15034.4285714286,14871,15181,15238,95.2,139.1,1441.2
-3.061556,5.296583,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14690,15034.4285714286,14871,15181,15238,95.2,139.1,1441.2
-3.059861,5.296472,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14690,15034.4285714286,14871,15181,15238,95.2,139.1,1441.2
-3.059472,5.295333,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14690,15034.4285714286,14871,15181,15238,95.2,139.1,1441.2
-3.051194,5.288083,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.050667,5.287528,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.049833,5.288111,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.048889,5.288278,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.048028,5.287361,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.048083,5.288611,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.046639,5.288611,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.046139,5.289722,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.050333,5.288611,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.056694,5.285139,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.056833,5.285,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.057028,5.284778,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.055333,5.284306,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.055472,5.284111,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.055694,5.283667,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.055667,5.283556,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.055694,5.282806,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.053278,5.282222,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.053333,5.282083,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14693,15038.3333333333,,15138,15027,95.2,139.1,1441.2
-3.053056,5.281694,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14693,15038.3333333333,,15138,15027,95.2,139.1,1441.2
-3.053167,5.281028,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14693,15038.3333333333,,15138,15027,95.2,139.1,1441.2
-3.053361,5.280528,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14693,15038.3333333333,,15138,15027,95.2,139.1,1441.2
-3.052083,5.283778,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.051917,5.283611,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.05175,5.283333,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.051417,5.28275,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.051278,5.282139,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.0515,5.285639,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.051278,5.285444,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.051,5.285306,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.050278,5.284361,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.050278,5.283639,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.054,5.287667,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.053611,5.287611,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.053083,5.287778,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.052889,5.287889,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.056556,5.288583,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.056556,5.289139,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.056556,5.289861,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.056139,5.2905,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.055583,5.291472,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14690,15034.4285714286,14871,15181,15238,95.2,139.1,1441.2
-3.054278,5.291278,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14690,15034.4285714286,14871,15181,15238,95.2,139.1,1441.2
